run,time,cat,S,SO3,H2,photon,electron,hole,cat_H2O,HS,OH,cat_HS,cat_sulfite,cat_H,cat_OH,cat_HS0,cat_S0,cat_HS2,HS2,S2O3,cat_S2O3
1,0.0,400,12,240,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1.0,252,5,142,0,800,0,1,41,0,7,7,98,1,1,0,0,0,0,0,0
1,2.0,201,2,140,0,800,1,7,73,0,7,9,100,7,9,0,1,0,0,0,0
1,3.0,161,0,140,2,800,3,14,94,0,9,6,100,13,19,5,1,0,0,0,0
1,4.0,75,0,140,13,800,0,26,96,0,9,1,100,11,32,3,8,0,0,0,0
2,0.0,400,12,240,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1.0,253,5,148,0,800,0,1,46,0,7,7,92,1,1,0,0,0,0,0,0
2,2.0,192,3,140,0,800,0,7,84,0,8,9,100,7,8,0,0,0,0,0,0
2,3.0,152,3,140,3,800,0,17,98,0,7,4,100,16,23,4,1,0,0,0,0
2,4.0,59,2,140,10,800,0,29,97,0,7,3,100,16,33,0,5,1,0,0,0
3,0.0,400,12,240,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1.0,249,3,140,0,800,0,0,40,0,8,8,100,1,1,0,1,0,0,0,0
3,2.0,205,1,140,2,800,1,3,78,0,10,7,100,2,4,1,3,0,0,0,0
3,3.0,160,0,140,4,800,0,12,97,0,11,4,100,12,16,3,5,0,0,0,0
3,4.0,56,0,140,8,800,0,21,103,0,11,2,100,15,23,1,9,0,0,0,0
run,time,cat,S,SO3,H2,photon,electron,hole,cat_H2O,HS,OH,cat_HS,cat_sulfite,cat_H,cat_OH,cat_HS0,cat_S0,cat_HS2,HS2,S2O3,cat_S2O3
1,0.0,400,24,240,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1.0,236,12,140,0,800,0,2,47,0,12,11,100,3,2,0,1,0,0,0,0
1,2.0,196,7,140,0,800,0,4,74,0,17,14,100,7,6,2,1,0,0,0,0
1,3.0,161,1,140,2,800,1,8,95,1,22,15,100,10,12,4,3,0,0,0,0
1,4.0,60,1,140,6,800,0,12,96,0,21,9,100,14,22,6,4,2,0,0,0
2,0.0,400,24,240,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1.0,234,8,140,0,800,0,0,50,0,16,16,100,0,0,0,0,0,0,0,0
2,2.0,192,4,140,0,800,1,3,74,0,20,13,100,9,6,3,2,1,0,0,0
2,3.0,148,1,139,2,800,0,8,94,1,21,11,100,16,17,6,4,0,0,0,1
2,4.0,32,0,138,6,800,0,16,97,0,22,10,100,20,25,4,6,1,0,1,1
3,0.0,400,24,240,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1.0,245,8,146,0,800,0,1,41,0,16,15,94,2,2,1,0,0,0,0,0
3,2.0,189,3,140,0,800,2,6,75,0,20,17,100,8,7,2,2,0,0,0,0
3,3.0,148,0,138,4,800,2,9,93,0,22,12,100,13,18,7,3,0,0,0,2
3,4.0,54,0,138,12,800,0,14,96,0,21,6,100,10,27,6,6,2,0,0,2
run,time,cat,S,SO3,H2,photon,electron,hole,cat_H2O,HS,OH,cat_HS,cat_sulfite,cat_H,cat_OH,cat_HS0,cat_S0,cat_HS2,HS2,S2O3,cat_S2O3
1,0.0,400,60,240,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1.0,228,24,140,0,800,0,0,34,2,32,34,100,0,4,0,0,0,0,0,0
1,2.0,169,9,140,0,800,4,0,67,1,46,39,100,7,7,6,5,0,0,0,0
1,3.0,115,3,140,2,800,6,4,78,1,49,32,100,18,19,11,9,2,0,0,0
1,4.0,27,2,140,7,800,4,2,84,0,49,31,100,11,19,9,12,3,0,0,0
2,0.0,400,60,240,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1.0,223,26,146,0,800,1,1,48,2,33,31,94,1,2,1,0,0,0,0,0
2,2.0,157,16,140,1,800,2,5,76,0,39,36,100,9,14,6,2,0,0,0,0
2,3.0,107,8,139,5,800,2,8,83,1,43,34,100,14,25,9,7,0,0,0,1
2,4.0,24,4,139,10,800,1,8,84,2,46,28,100,14,27,6,13,3,0,0,1
3,0.0,400,60,240,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1.0,227,25,140,0,800,1,0,37,0,34,34,100,0,1,1,0,0,0,0,0
3,2.0,169,9,140,0,800,4,5,56,1,46,39,100,12,13,7,4,0,0,0,0
3,3.0,114,1,140,5,800,4,2,80,0,52,40,100,7,15,8,7,2,0,0,0
3,4.0,19,1,138,7,800,1,4,77,0,52,36,100,14,20,5,10,3,0,1,1
run,time,cat,S,SO3,H2,photon,electron,hole,cat_H2O,HS,OH,cat_HS,cat_sulfite,cat_H,cat_OH,cat_HS0,cat_S0,cat_HS2,HS2,S2O3,cat_S2O3
1,0.0,400,120,240,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1.0,195,37,161,0,800,5,1,39,1,80,77,79,1,4,5,0,0,0,0,0
1,2.0,131,16,139,2,800,5,0,49,4,101,81,100,11,11,11,5,1,0,1,0
1,3.0,57,6,138,11,800,10,2,51,0,111,74,100,12,16,16,16,3,0,0,2
1,4.0,23,2,135,15,800,12,0,50,1,114,70,100,10,13,7,17,9,0,2,3
2,0.0,400,120,240,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1.0,190,44,145,0,800,2,0,39,6,72,67,95,1,5,3,0,0,0,0,0
2,2.0,132,23,140,2,800,7,1,49,0,87,79,100,8,15,10,6,1,0,0,0
2,3.0,37,5,139,4,800,7,1,53,1,102,86,100,15,23,11,8,4,0,0,1
2,4.0,14,4,139,6,800,7,2,55,2,102,84,100,14,24,7,8,7,0,0,1
3,0.0,400,120,240,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1.0,193,50,147,0,800,3,2,39,3,68,62,93,4,4,3,2,0,0,0,0
3,2.0,131,22,140,1,800,7,2,52,4,94,75,100,12,10,11,8,0,0,0,0
3,3.0,55,7,140,6,800,10,0,57,1,105,80,100,10,8,5,17,5,0,0,0
3,4.0,13,3,140,10,800,11,0,55,4,107,74,100,8,14,9,18,6,0,0,0
run,time,cat,S,SO3,H2,photon,electron,hole,cat_H2O,HS,OH,cat_HS,cat_sulfite,cat_H,cat_OH,cat_HS0,cat_S0,cat_HS2,HS2,S2O3,cat_S2O3
1,0.0,400,240,240,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1.0,141,103,153,0,800,5,2,39,12,134,119,87,3,5,5,1,0,0,0,0
1,2.0,49,39,140,1,800,14,1,47,21,195,155,100,10,12,16,3,3,0,0,0
1,3.0,9,13,137,4,800,16,0,41,26,219,168,100,12,16,17,5,4,0,2,1
1,4.0,1,5,136,6,800,17,0,40,25,227,175,100,10,15,14,5,6,0,3,1
2,0.0,400,240,240,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1.0,150,113,157,0,800,2,2,36,9,123,113,83,5,8,4,1,0,0,0,0
2,2.0,57,48,138,3,800,7,0,40,16,186,151,100,14,11,7,10,3,0,2,0
2,3.0,10,14,137,6,800,12,0,42,31,219,163,100,11,11,7,10,6,0,1,2
2,4.0,1,6,134,7,800,11,0,41,31,227,174,100,10,10,5,12,3,0,4,2
3,0.0,400,240,240,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1.0,148,113,156,0,800,7,1,36,8,123,108,84,5,8,10,1,0,0,0,0
3,2.0,60,48,139,4,800,14,0,36,18,181,140,100,13,18,17,10,2,1,1,0
3,3.0,21,25,135,11,800,16,0,31,22,201,151,100,9,16,6,17,6,1,3,2
3,4.0,6,12,130,12,800,18,0,31,31,213,154,100,11,19,7,16,4,1,7,3
run,time,cat,S,SO3,H2,photon,electron,hole,cat_H2O,HS,OH,cat_HS,cat_sulfite,cat_H,cat_OH,cat_HS0,cat_S0,cat_HS2,HS2,S2O3,cat_S2O3
1,0.0,400,720,240,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1.0,18,276,196,0,800,10,0,17,133,437,298,44,3,7,10,3,0,0,0,0
1,2.0,0,99,193,0,800,12,0,17,290,614,317,46,3,5,7,2,2,0,0,1
1,3.0,1,42,191,0,800,12,0,17,344,671,322,46,3,2,3,4,1,0,2,1
1,4.0,0,20,190,0,800,12,0,17,364,693,325,46,3,2,2,3,1,0,3,1
2,0.0,400,720,240,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1.0,11,276,181,0,800,11,1,18,135,443,298,59,1,2,11,0,0,0,0,0
2,2.0,0,130,180,0,800,13,0,18,269,589,307,60,1,0,11,1,1,0,0,0
2,3.0,0,44,180,0,800,13,0,18,355,675,307,60,1,0,11,1,1,0,0,0
2,4.0,0,20,180,0,800,13,0,18,379,699,307,60,1,0,11,1,1,0,0,0
3,0.0,400,720,240,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1.0,15,304,190,0,800,7,0,29,116,412,291,50,2,4,7,2,0,0,0,0
3,2.0,0,145,189,0,800,9,0,30,261,569,303,51,2,4,6,3,1,0,0,0
3,3.0,0,59,189,0,800,9,0,30,346,655,304,51,2,4,5,2,2,0,0,0
3,4.0,0,22,188,0,800,9,0,30,383,692,305,51,2,4,5,2,1,0,1,0
