run,time,cat,S,SO3,H2,photon,electron,hole,cat_H2O,HS,OH,cat_HS,cat_sulfite,cat_H,cat_OH,cat_HS0,cat_S0,cat_HS2,HS2,S2O3,cat_S2O3
1,0.0,400,240,24,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1.0,212,108,16,0,800,2,0,42,2,125,127,8,1,7,2,1,0,0,0,0
1,2.0,115,42,11,2,800,15,1,56,12,181,153,13,15,22,12,7,7,0,0,0
1,3.0,56,20,10,10,800,18,0,45,7,200,158,13,18,31,14,12,13,1,0,1
1,4.0,30,10,7,16,800,21,0,44,8,204,159,13,14,33,6,17,10,8,1,3
2,0.0,400,240,24,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1.0,206,106,13,0,800,3,0,50,13,127,115,11,3,9,5,1,0,0,0,0
2,2.0,112,48,8,2,800,9,3,60,10,179,159,16,13,22,10,3,5,0,0,0
2,3.0,46,20,5,9,800,17,1,60,9,202,164,16,16,26,11,13,9,1,3,0
2,4.0,25,7,5,15,800,17,0,64,13,212,163,16,13,26,4,20,10,5,0,3
3,0.0,400,240,24,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1.0,221,116,19,0,800,1,0,49,9,114,114,5,0,10,1,0,0,0,0,0
3,2.0,121,47,14,0,800,10,3,52,9,178,158,10,19,20,9,11,0,3,0,0
3,3.0,67,16,9,9,800,14,1,46,10,205,166,13,19,27,12,20,4,3,1,1
3,4.0,36,5,7,16,800,15,1,40,4,211,172,14,16,34,8,22,5,8,1,2
run,time,cat,S,SO3,H2,photon,electron,hole,cat_H2O,HS,OH,cat_HS,cat_sulfite,cat_H,cat_OH,cat_HS0,cat_S0,cat_HS2,HS2,S2O3,cat_S2O3
1,0.0,400,240,60,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1.0,211,108,38,0,800,5,0,36,8,125,119,22,0,7,5,0,0,0,0,0
1,2.0,115,47,31,1,800,12,0,40,4,180,164,29,11,18,15,6,2,0,0,0
1,3.0,40,20,23,6,800,22,0,42,10,200,165,36,12,19,9,13,10,1,0,1
1,4.0,20,12,22,9,800,28,0,39,11,206,161,36,12,18,6,16,11,5,0,2
2,0.0,400,240,60,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1.0,210,120,36,0,800,4,0,45,5,117,109,24,2,4,5,1,0,0,0,0
2,2.0,109,48,29,2,800,12,0,54,9,182,156,31,11,15,15,8,1,1,0,0
2,3.0,42,24,21,8,800,10,0,46,5,203,171,37,16,23,8,10,8,2,0,2
2,4.0,19,14,16,12,800,15,0,44,12,208,166,39,14,27,8,13,9,2,3,2
3,0.0,400,240,60,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1.0,200,107,47,0,800,3,0,48,5,124,124,13,1,10,4,0,0,0,0,0
3,2.0,114,44,39,4,800,14,1,50,9,183,151,21,15,19,14,12,4,1,0,0
3,3.0,42,18,29,11,800,17,0,47,6,203,164,29,15,25,14,22,6,1,1,1
3,4.0,21,9,24,16,800,19,0,43,8,211,166,30,12,22,6,27,7,2,2,4
run,time,cat,S,SO3,H2,photon,electron,hole,cat_H2O,HS,OH,cat_HS,cat_sulfite,cat_H,cat_OH,cat_HS0,cat_S0,cat_HS2,HS2,S2O3,cat_S2O3
1,0.0,400,240,120,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1.0,186,100,77,0,800,4,0,38,9,137,127,43,0,2,3,1,0,0,0,0
1,2.0,97,53,62,2,800,11,0,42,7,180,151,58,14,11,13,12,2,0,0,0
1,3.0,24,22,53,7,800,15,0,42,10,207,166,65,15,18,13,13,7,0,2,0
1,4.0,10,12,49,9,800,18,0,39,15,216,166,66,16,18,11,15,5,3,4,1
2,0.0,400,240,120,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1.0,183,86,86,0,800,5,0,36,9,151,140,34,0,2,4,1,0,0,0,0
2,2.0,106,42,66,3,800,21,1,38,11,188,154,53,8,12,17,7,4,0,0,1
2,3.0,33,21,59,5,800,27,1,39,10,205,163,60,11,13,11,8,9,4,0,1
2,4.0,5,7,46,6,800,27,0,37,20,217,168,64,16,16,9,10,7,1,9,1
3,0.0,400,240,120,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1.0,163,110,66,0,800,4,0,48,6,127,116,54,4,7,8,0,0,0,0,0
3,2.0,60,54,54,1,800,7,0,61,11,174,152,66,14,18,11,8,2,0,0,0
3,3.0,15,26,48,6,800,8,0,60,20,201,163,72,11,18,7,12,3,3,0,0
3,4.0,9,9,44,9,800,11,0,60,32,218,166,72,8,15,3,14,6,0,3,1
run,time,cat,S,SO3,H2,photon,electron,hole,cat_H2O,HS,OH,cat_HS,cat_sulfite,cat_H,cat_OH,cat_HS0,cat_S0,cat_HS2,HS2,S2O3,cat_S2O3
1,0.0,400,240,240,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1.0,141,95,171,0,800,6,0,40,5,141,131,69,3,7,9,0,0,0,0,0
1,2.0,48,39,149,1,800,12,0,40,14,194,160,90,14,15,19,7,0,0,0,1
1,3.0,17,23,142,4,800,19,0,44,19,209,162,96,11,9,15,13,2,1,1,1
1,4.0,9,7,140,6,800,19,1,41,25,225,170,97,11,8,8,13,5,2,2,1
2,0.0,400,240,240,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1.0,135,113,146,0,800,3,1,39,7,122,113,94,5,7,4,3,0,0,0,0
2,2.0,49,45,139,2,800,8,0,42,16,188,157,100,11,16,15,4,1,0,0,1
2,3.0,6,18,137,5,800,9,0,42,26,214,172,100,8,16,13,6,1,0,1,2
2,4.0,9,5,137,5,800,12,0,43,31,227,176,100,9,10,3,6,7,1,1,2
3,0.0,400,240,240,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1.0,147,112,162,0,800,3,0,45,8,125,112,78,5,5,5,3,0,0,0,0
3,2.0,46,47,140,3,800,16,0,53,12,187,151,99,9,10,17,8,2,0,0,1
3,3.0,19,23,137,7,800,15,0,45,25,211,155,100,11,11,10,10,7,0,2,1
3,4.0,9,10,134,9,800,19,0,47,29,224,162,100,8,8,9,12,4,2,4,2
run,time,cat,S,SO3,H2,photon,electron,hole,cat_H2O,HS,OH,cat_HS,cat_sulfite,cat_H,cat_OH,cat_HS0,cat_S0,cat_HS2,HS2,S2O3,cat_S2O3
1,0.0,400,240,720,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1.0,150,115,620,0,800,6,2,24,10,123,106,100,5,6,8,1,0,0,0,0
1,2.0,68,50,619,2,800,18,0,36,15,186,145,100,9,8,17,4,4,0,1,0
