run,cat,S,SO3,H2,photon,electron,hole,cat_H2O,HS,OH,cat_HS,cat_sulfite,cat_H,cat_OH,cat_HS0,cat_S0,cat_HS2,HS2,S2O3,cat_S2O3
1,30,10,7,16,800,21,0,44,8,204,159,13,14,33,6,17,10,8,1,3
2,25,7,5,15,800,17,0,64,13,212,163,16,13,26,4,20,10,5,0,3
3,36,5,7,16,800,15,1,40,4,211,172,14,16,34,8,22,5,8,1,2
run,cat,S,SO3,H2,photon,electron,hole,cat_H2O,HS,OH,cat_HS,cat_sulfite,cat_H,cat_OH,cat_HS0,cat_S0,cat_HS2,HS2,S2O3,cat_S2O3
1,20,12,22,9,800,28,0,39,11,206,161,36,12,18,6,16,11,5,0,2
2,19,14,16,12,800,15,0,44,12,208,166,39,14,27,8,13,9,2,3,2
3,21,9,24,16,800,19,0,43,8,211,166,30,12,22,6,27,7,2,2,4
run,cat,S,SO3,H2,photon,electron,hole,cat_H2O,HS,OH,cat_HS,cat_sulfite,cat_H,cat_OH,cat_HS0,cat_S0,cat_HS2,HS2,S2O3,cat_S2O3
1,10,12,49,9,800,18,0,39,15,216,166,66,16,18,11,15,5,3,4,1
2,5,7,46,6,800,27,0,37,20,217,168,64,16,16,9,10,7,1,9,1
3,9,9,44,9,800,11,0,60,32,218,166,72,8,15,3,14,6,0,3,1
run,cat,S,SO3,H2,photon,electron,hole,cat_H2O,HS,OH,cat_HS,cat_sulfite,cat_H,cat_OH,cat_HS0,cat_S0,cat_HS2,HS2,S2O3,cat_S2O3
1,9,7,140,6,800,19,1,41,25,225,170,97,11,8,8,13,5,2,2,1
2,9,5,137,5,800,12,0,43,31,227,176,100,9,10,3,6,7,1,1,2
3,9,10,134,9,800,19,0,47,29,224,162,100,8,8,9,12,4,2,4,2
run,cat,S,SO3,H2,photon,electron,hole,cat_H2O,HS,OH,cat_HS,cat_sulfite,cat_H,cat_OH,cat_HS0,cat_S0,cat_HS2,HS2,S2O3,cat_S2O3
1,1,10,610,5,800,23,0,37,32,223,166,100,9,5,8,8,3,0,6,4
2,5,13,614,6,800,18,0,37,27,219,168,100,8,7,8,12,2,1,3,3
3,4,4,613,3,800,16,0,40,33,226,177,100,11,9,6,9,2,0,6,1
