run,cat,S,SO3,H2,photon,electron,hole,cat_H2O,HS,OH,cat_HS,cat_sulfite,cat_H,cat_OH,cat_HS0,cat_S0,cat_HS2,HS2,S2O3,cat_S2O3
1,75,0,140,13,800,0,26,96,0,9,1,100,11,32,3,8,0,0,0,0
2,59,2,140,10,800,0,29,97,0,7,3,100,16,33,0,5,1,0,0,0
3,56,0,140,8,800,0,21,103,0,11,2,100,15,23,1,9,0,0,0,0
run,cat,S,SO3,H2,photon,electron,hole,cat_H2O,HS,OH,cat_HS,cat_sulfite,cat_H,cat_OH,cat_HS0,cat_S0,cat_HS2,HS2,S2O3,cat_S2O3
1,60,1,140,6,800,0,12,96,0,21,9,100,14,22,6,4,2,0,0,0
2,32,0,138,6,800,0,16,97,0,22,10,100,20,25,4,6,1,0,1,1
3,54,0,138,12,800,0,14,96,0,21,6,100,10,27,6,6,2,0,0,2
run,cat,S,SO3,H2,photon,electron,hole,cat_H2O,HS,OH,cat_HS,cat_sulfite,cat_H,cat_OH,cat_HS0,cat_S0,cat_HS2,HS2,S2O3,cat_S2O3
1,27,2,140,7,800,4,2,84,0,49,31,100,11,19,9,12,3,0,0,0
2,24,4,139,10,800,1,8,84,2,46,28,100,14,27,6,13,3,0,0,1
3,19,1,138,7,800,1,4,77,0,52,36,100,14,20,5,10,3,0,1,1
run,cat,S,SO3,H2,photon,electron,hole,cat_H2O,HS,OH,cat_HS,cat_sulfite,cat_H,cat_OH,cat_HS0,cat_S0,cat_HS2,HS2,S2O3,cat_S2O3
1,23,2,135,15,800,12,0,50,1,114,70,100,10,13,7,17,9,0,2,3
2,14,4,139,6,800,7,2,55,2,102,84,100,14,24,7,8,7,0,0,1
3,13,3,140,10,800,11,0,55,4,107,74,100,8,14,9,18,6,0,0,0
run,cat,S,SO3,H2,photon,electron,hole,cat_H2O,HS,OH,cat_HS,cat_sulfite,cat_H,cat_OH,cat_HS0,cat_S0,cat_HS2,HS2,S2O3,cat_S2O3
1,1,5,136,6,800,17,0,40,25,227,175,100,10,15,14,5,6,0,3,1
2,1,6,134,7,800,11,0,41,31,227,174,100,10,10,5,12,3,0,4,2
3,6,12,130,12,800,18,0,31,31,213,154,100,11,19,7,16,4,1,7,3
run,cat,S,SO3,H2,photon,electron,hole,cat_H2O,HS,OH,cat_HS,cat_sulfite,cat_H,cat_OH,cat_HS0,cat_S0,cat_HS2,HS2,S2O3,cat_S2O3
1,0,20,190,0,800,12,0,17,364,693,325,46,3,2,2,3,1,0,3,1
2,0,20,180,0,800,13,0,18,379,699,307,60,1,0,11,1,1,0,0,0
3,0,22,188,0,800,9,0,30,383,692,305,51,2,4,5,2,1,0,1,0
