run,time,cat,S,SO3,H2,photon,electron,hole,cat_H2O,HS,OH,cat_HS,cat_sulfite,cat_H,cat_OH,cat_HS0,cat_S0,cat_HS2,HS2,S2O3,cat_S2O3
1,0.0,100,240,240,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1.0,10,112,224,0,800,1,0,7,62,127,65,16,0,1,1,0,0,0,0,0
1,2.0,0,40,224,0,800,1,0,8,133,199,66,16,0,1,1,0,0,0,0,0
1,3.0,0,17,224,0,800,1,0,8,156,222,66,16,0,1,1,0,0,0,0,0
1,4.0,0,8,224,0,800,1,0,8,165,231,66,16,0,1,1,0,0,0,0,0
2,0.0,100,240,240,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1.0,6,98,225,0,800,2,0,9,72,142,68,15,0,0,2,0,0,0,0,0
2,2.0,0,51,223,0,800,2,0,9,116,188,71,17,0,1,2,0,0,0,0,0
2,3.0,0,16,223,0,800,2,0,9,151,223,71,17,0,1,2,0,0,0,0,0
2,4.0,0,8,223,0,800,2,0,9,159,231,71,17,0,1,2,0,0,0,0,0
3,0.0,100,240,240,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1.0,11,100,223,0,800,1,0,5,75,138,64,17,0,2,1,0,0,0,0,0
3,2.0,0,48,223,0,800,1,0,5,122,190,69,17,0,2,1,0,0,0,0,0
3,3.0,0,22,223,0,800,1,0,5,148,216,69,17,0,2,1,0,0,0,0,0
3,4.0,0,7,223,0,800,1,0,5,163,231,69,17,0,2,1,0,0,0,0,0
run,time,cat,S,SO3,H2,photon,electron,hole,cat_H2O,HS,OH,cat_HS,cat_sulfite,cat_H,cat_OH,cat_HS0,cat_S0,cat_HS2,HS2,S2O3,cat_S2O3
1,0.0,300,240,240,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1.0,77,96,177,0,800,11,1,24,16,140,116,63,2,6,12,0,0,0,0,0
1,2.0,9,45,164,1,800,20,0,23,31,189,138,76,4,7,20,4,1,0,0,0
1,3.0,3,18,161,1,800,21,0,23,54,216,141,78,5,4,13,3,5,0,1,0
1,4.0,2,9,154,1,800,21,0,25,62,224,147,80,5,2,8,4,2,0,6,0
2,0.0,300,240,240,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1.0,90,109,175,0,800,9,0,20,14,128,105,65,3,5,11,1,0,0,0,0
2,2.0,16,42,158,0,800,17,0,24,41,194,134,81,7,4,14,4,2,0,0,1
2,3.0,5,21,156,1,800,19,0,24,55,215,140,82,5,3,13,3,3,0,1,1
2,4.0,1,4,154,1,800,19,0,24,63,232,151,82,5,1,9,3,2,1,3,1
3,0.0,300,240,240,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1.0,80,107,178,0,800,3,0,27,13,125,115,62,2,9,4,1,0,0,0,0
3,2.0,9,49,160,0,800,6,0,26,35,182,144,80,6,9,6,6,0,0,0,0
3,3.0,1,19,159,1,800,6,0,26,60,212,149,81,4,8,3,5,2,0,0,0
3,4.0,1,4,157,1,800,6,0,26,75,227,151,81,4,7,2,6,0,0,1,1
run,time,cat,S,SO3,H2,photon,electron,hole,cat_H2O,HS,OH,cat_HS,cat_sulfite,cat_H,cat_OH,cat_HS0,cat_S0,cat_HS2,HS2,S2O3,cat_S2O3
1,0.0,400,240,240,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1.0,139,99,148,0,800,4,1,31,12,136,124,92,2,7,5,0,0,0,0,0
1,2.0,52,38,140,1,800,20,0,38,18,195,156,100,6,9,21,5,1,0,0,0
1,3.0,18,21,136,4,800,20,0,31,18,211,168,100,9,9,10,5,7,0,3,1
1,4.0,7,13,134,6,800,18,0,32,20,217,176,100,7,8,3,8,6,1,2,4
2,0.0,400,240,240,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1.0,141,99,156,0,800,8,1,41,12,137,121,84,1,4,7,1,0,0,0,0
2,2.0,42,39,140,0,800,17,1,47,14,191,160,100,11,12,14,5,4,0,0,0
2,3.0,6,17,136,1,800,18,0,46,30,209,165,100,12,16,12,4,3,1,4,0
2,4.0,2,9,133,2,800,20,0,46,36,217,168,100,10,15,12,4,2,0,5,2
3,0.0,400,240,240,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1.0,144,115,149,0,800,5,1,40,10,120,108,91,3,7,6,1,0,0,0,0
3,2.0,51,46,140,1,800,10,0,35,20,181,147,100,15,20,14,7,2,1,0,0
3,3.0,16,20,138,7,800,14,0,31,27,207,156,100,11,18,11,12,6,0,1,1
3,4.0,6,7,135,8,800,14,0,31,32,220,164,100,12,15,4,14,7,0,3,2
run,time,cat,S,SO3,H2,photon,electron,hole,cat_H2O,HS,OH,cat_HS,cat_sulfite,cat_H,cat_OH,cat_HS0,cat_S0,cat_HS2,HS2,S2O3,cat_S2O3
1,0.0,800,240,240,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1.0,477,109,140,0,800,0,0,79,0,118,131,100,0,13,0,0,0,0,0,0
1,2.0,340,46,140,0,800,0,0,141,3,166,191,100,0,28,0,0,0,0,0,0
1,3.0,262,21,140,0,800,5,0,169,1,172,209,100,4,48,5,2,1,0,0,0
1,4.0,230,11,140,10,800,2,0,163,0,173,185,100,22,61,2,32,5,0,0,0
2,0.0,800,240,240,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1.0,459,100,140,0,800,0,0,91,2,128,138,100,0,12,0,0,0,0,0,0
2,2.0,340,48,140,0,800,0,0,142,2,164,190,100,0,28,0,0,0,0,0,0
2,3.0,261,18,140,0,800,1,1,172,2,182,214,100,6,41,1,5,0,0,0,0
2,4.0,202,8,140,5,800,3,3,187,0,175,203,100,19,65,5,18,1,2,0,0
3,0.0,800,240,240,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1.0,475,114,140,0,800,0,0,92,1,118,125,100,0,8,0,0,0,0,0,0
3,2.0,338,41,140,0,800,0,0,142,1,177,198,100,0,22,0,0,0,0,0,0
3,3.0,255,18,140,0,800,2,0,175,0,182,212,100,8,42,2,4,2,0,0,0
3,4.0,213,9,139,10,800,3,1,173,0,177,184,100,26,67,4,22,10,0,0,1
