run,cat,S,SO3,H2,photon,electron,hole,cat_H2O,HS,OH,cat_HS,cat_sulfite,cat_H,cat_OH,cat_HS0,cat_S0,cat_HS2,HS2,S2O3,cat_S2O3
1,0,8,224,0,800,1,0,8,165,231,66,16,0,1,1,0,0,0,0,0
2,0,8,223,0,800,2,0,9,159,231,71,17,0,1,2,0,0,0,0,0
3,0,7,223,0,800,1,0,5,163,231,69,17,0,2,1,0,0,0,0,0
run,cat,S,SO3,H2,photon,electron,hole,cat_H2O,HS,OH,cat_HS,cat_sulfite,cat_H,cat_OH,cat_HS0,cat_S0,cat_HS2,HS2,S2O3,cat_S2O3
1,2,9,154,1,800,21,0,25,62,224,147,80,5,2,8,4,2,0,6,0
2,1,4,154,1,800,19,0,24,63,232,151,82,5,1,9,3,2,1,3,1
3,1,4,157,1,800,6,0,26,75,227,151,81,4,7,2,6,0,0,1,1
run,cat,S,SO3,H2,photon,electron,hole,cat_H2O,HS,OH,cat_HS,cat_sulfite,cat_H,cat_OH,cat_HS0,cat_S0,cat_HS2,HS2,S2O3,cat_S2O3
1,7,13,134,6,800,18,0,32,20,217,176,100,7,8,3,8,6,1,2,4
2,2,9,133,2,800,20,0,46,36,217,168,100,10,15,12,4,2,0,5,2
3,6,7,135,8,800,14,0,31,32,220,164,100,12,15,4,14,7,0,3,2
run,cat,S,SO3,H2,photon,electron,hole,cat_H2O,HS,OH,cat_HS,cat_sulfite,cat_H,cat_OH,cat_HS0,cat_S0,cat_HS2,HS2,S2O3,cat_S2O3
1,230,11,140,10,800,2,0,163,0,173,185,100,22,61,2,32,5,0,0,0
2,202,8,140,5,800,3,3,187,0,175,203,100,19,65,5,18,1,2,0,0
3,213,9,139,10,800,3,1,173,0,177,184,100,26,67,4,22,10,0,0,1
