run,time,cat,S,SO3,H2,photon,electron,hole,cat_H2O,HS,OH,cat_HS,cat_sulfite,cat_H,cat_OH,cat_HS0,cat_S0,cat_HS2,HS2,S2O3,cat_S2O3
1,0.0,400,240,240,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1.0,137,95,153,0,800,5,1,31,7,142,132,87,2,5,6,0,0,0,0,0
1,2.0,40,45,140,0,800,17,0,39,5,192,164,100,9,8,22,4,0,0,0,0
1,3.0,10,15,138,3,800,15,0,35,22,221,175,100,9,10,16,4,1,2,2,0
1,4.0,3,6,136,4,800,14,0,35,28,229,180,100,8,8,11,7,2,0,3,1
1,5.0,0,2,136,4,800,14,0,35,29,233,183,100,8,8,10,6,3,0,3,1
1,6.0,0,2,135,4,800,14,0,35,28,233,185,100,8,7,9,7,2,0,4,1
1,7.0,2,0,134,4,800,14,0,35,30,235,186,100,8,5,6,8,2,0,4,2
1,8.0,3,0,132,5,800,13,0,34,29,234,189,100,7,5,2,8,2,0,6,2
2,0.0,400,240,240,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1.0,144,104,147,0,800,7,1,31,15,131,112,93,3,8,9,0,0,0,0,0
2,2.0,57,39,140,1,800,10,0,30,17,192,158,100,14,14,13,9,2,0,0,0
2,3.0,12,15,138,3,800,15,1,30,20,212,171,100,16,17,9,9,7,0,1,1
2,4.0,9,9,133,6,800,17,0,28,16,218,180,100,13,12,5,15,4,0,5,2
2,5.0,4,6,130,7,800,19,0,27,15,220,184,100,12,11,2,15,4,0,7,3
2,6.0,2,2,127,9,800,19,0,27,18,224,188,100,8,11,2,15,1,0,8,5
2,7.0,2,1,126,10,800,19,0,26,19,225,188,100,7,12,3,15,0,0,8,6
2,8.0,2,1,126,11,800,20,0,27,17,225,189,100,5,11,3,16,0,0,8,6
3,0.0,400,240,240,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1.0,147,103,160,0,800,4,0,42,9,135,123,80,1,2,4,1,0,0,0,0
3,2.0,57,41,140,1,800,13,1,39,14,190,162,100,9,12,13,6,1,1,0,0
3,3.0,5,12,138,3,800,19,0,41,28,217,171,100,6,11,13,6,4,0,2,0
3,4.0,0,2,137,3,800,18,0,41,35,226,174,100,8,9,7,9,5,0,3,0
3,5.0,1,0,135,4,800,18,0,41,35,228,177,100,7,8,5,10,4,0,5,0
3,6.0,2,0,134,4,800,18,0,41,35,228,178,100,7,8,4,9,4,0,6,0
3,7.0,3,0,133,5,800,18,0,40,32,228,181,100,6,7,2,10,4,0,7,0
3,8.0,1,0,129,6,800,18,0,41,30,228,187,100,4,7,1,9,1,0,10,1
