run,time,cat,S,SO3,H2,photon,electron,hole,cat_H2O,HS,OH,cat_HS,cat_sulfite,cat_H,cat_OH,cat_HS0,cat_S0,cat_HS2,HS2,S2O3,cat_S2O3
1,0.0,100,240,240,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1.0,3,97,215,0,800,1,0,8,81,143,60,25,1,1,2,0,0,0,0,0
1,2.0,0,46,214,0,800,1,0,8,131,194,61,26,1,1,2,0,0,0,0,0
1,3.0,0,18,214,0,800,1,0,8,159,222,61,26,1,1,2,0,0,0,0,0
1,4.0,0,8,214,0,800,1,0,8,169,232,61,26,1,1,2,0,0,0,0,0
2,0.0,100,240,240,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1.0,11,113,228,0,800,1,0,14,68,125,57,12,1,3,2,0,0,0,0,0
2,2.0,0,50,228,0,800,1,0,14,124,188,64,12,1,3,2,0,0,0,0,0
2,3.0,0,18,228,0,800,1,0,14,156,220,64,12,1,3,2,0,0,0,0,0
2,4.0,0,7,228,0,800,1,0,14,166,231,65,12,1,2,1,1,0,0,0,0
3,0.0,100,240,240,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1.0,5,104,225,0,800,1,0,11,69,136,65,15,1,1,2,0,0,0,0,0
3,2.0,0,43,224,0,800,1,0,12,128,197,67,16,1,1,2,0,0,0,0,0
3,3.0,0,17,224,0,800,1,0,12,154,223,67,16,1,1,2,0,0,0,0,0
3,4.0,0,8,224,0,800,1,0,12,163,232,67,16,1,1,2,0,0,0,0,0
run,time,cat,S,SO3,H2,photon,electron,hole,cat_H2O,HS,OH,cat_HS,cat_sulfite,cat_H,cat_OH,cat_HS0,cat_S0,cat_HS2,HS2,S2O3,cat_S2O3
1,0.0,300,240,240,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1.0,82,120,171,0,800,10,0,39,14,118,93,69,3,3,9,0,2,0,0,0
1,2.0,10,50,162,1,800,15,0,45,50,186,119,76,6,5,14,5,0,0,2,0
1,3.0,0,26,159,1,800,17,0,44,63,210,129,77,7,3,8,2,4,0,4,0
1,4.0,0,10,156,1,800,17,0,44,78,226,132,78,7,2,6,2,3,0,6,0
2,0.0,300,240,240,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1.0,87,121,168,0,800,12,1,34,18,118,87,72,3,3,13,1,0,0,0,0
2,2.0,9,59,154,1,800,16,0,34,38,178,118,86,7,8,18,1,2,1,0,0
2,3.0,2,31,150,1,800,15,0,33,63,206,122,89,8,6,14,3,3,0,0,1
2,4.0,0,18,147,1,800,15,0,33,75,219,126,89,8,6,13,2,1,0,3,1
3,0.0,300,240,240,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1.0,77,103,170,1,800,2,0,29,19,135,112,70,2,4,4,2,0,0,0,0
3,2.0,5,41,162,2,800,2,0,30,44,196,143,78,6,7,6,6,0,0,0,0
3,3.0,1,14,162,3,800,2,0,30,65,223,149,78,4,5,4,8,0,0,0,0
3,4.0,0,7,162,3,800,2,0,30,71,229,150,78,4,5,3,9,0,0,0,0
run,time,cat,S,SO3,H2,photon,electron,hole,cat_H2O,HS,OH,cat_HS,cat_sulfite,cat_H,cat_OH,cat_HS0,cat_S0,cat_HS2,HS2,S2O3,cat_S2O3
1,0.0,400,240,240,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1.0,143,110,173,0,800,5,0,50,5,121,116,67,4,11,7,2,0,0,0,0
1,2.0,37,45,151,1,800,11,2,57,16,183,156,88,13,18,13,7,1,0,0,1
1,3.0,9,19,146,3,800,12,0,56,31,207,158,93,15,15,7,14,5,0,0,1
1,4.0,4,11,138,7,800,14,0,56,31,213,167,97,8,17,5,11,5,0,4,1
2,0.0,400,240,240,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1.0,139,114,163,0,800,8,1,54,9,119,104,77,6,8,7,4,1,0,0,0
2,2.0,41,55,139,4,800,14,0,61,17,171,138,100,9,18,16,11,1,0,1,0
2,3.0,10,24,138,5,800,17,0,64,37,200,144,100,10,16,9,12,5,1,1,1
2,4.0,5,7,136,7,800,17,0,60,42,217,154,100,10,14,5,16,6,0,3,1
3,0.0,400,240,240,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1.0,126,105,160,0,800,2,0,59,12,131,116,80,5,7,5,2,0,0,0,0
3,2.0,28,46,140,3,800,6,0,74,23,186,151,100,8,12,9,9,1,0,0,0
3,3.0,3,23,139,5,800,6,0,77,31,208,165,100,6,8,2,14,2,0,0,1
3,4.0,2,10,138,5,800,5,0,76,44,221,166,100,7,8,0,14,2,0,1,1
