run,cat,S,SO3,H2,photon,electron,hole,cat_H2O,HS,OH,cat_HS,cat_sulfite,cat_H,cat_OH,cat_HS0,cat_S0,cat_HS2,HS2,S2O3,cat_S2O3
1,0,8,214,0,800,1,0,8,169,232,61,26,1,1,2,0,0,0,0,0
2,0,7,228,0,800,1,0,14,166,231,65,12,1,2,1,1,0,0,0,0
3,0,8,224,0,800,1,0,12,163,232,67,16,1,1,2,0,0,0,0,0
run,cat,S,SO3,H2,photon,electron,hole,cat_H2O,HS,OH,cat_HS,cat_sulfite,cat_H,cat_OH,cat_HS0,cat_S0,cat_HS2,HS2,S2O3,cat_S2O3
1,0,10,156,1,800,17,0,44,78,226,132,78,7,2,6,2,3,0,6,0
2,0,18,147,1,800,15,0,33,75,219,126,89,8,6,13,2,1,0,3,1
3,0,7,162,3,800,2,0,30,71,229,150,78,4,5,3,9,0,0,0,0
run,cat,S,SO3,H2,photon,electron,hole,cat_H2O,HS,OH,cat_HS,cat_sulfite,cat_H,cat_OH,cat_HS0,cat_S0,cat_HS2,HS2,S2O3,cat_S2O3
1,4,11,138,7,800,14,0,56,31,213,167,97,8,17,5,11,5,0,4,1
2,5,7,136,7,800,17,0,60,42,217,154,100,10,14,5,16,6,0,3,1
3,2,10,138,5,800,5,0,76,44,221,166,100,7,8,0,14,2,0,1,1
run,cat,S,SO3,H2,photon,electron,hole,cat_H2O,HS,OH,cat_HS,cat_sulfite,cat_H,cat_OH,cat_HS0,cat_S0,cat_HS2,HS2,S2O3,cat_S2O3
1,133,11,135,25,800,3,4,230,0,175,151,100,34,78,5,42,13,0,0,5
2,179,8,132,33,800,5,1,218,1,185,150,100,19,69,4,41,13,1,1,7
3,182,6,133,32,800,4,2,213,2,192,151,100,22,65,7,45,9,2,1,6
