run,time,cat,S,SO3,H2,photon,electron,hole,cat_H2O,HS,OH,cat_HS,cat_sulfite,cat_H,cat_OH,cat_HS0,cat_S0,cat_HS2,HS2,S2O3,cat_S2O3
1,0.0,400,240,240,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1.0,137,100,149,0,800,4,1,37,12,135,124,91,1,6,4,0,0,0,0,0
1,2.0,61,43,140,0,800,11,0,36,16,187,159,100,11,14,12,4,3,0,0,0
1,3.0,43,15,140,6,800,12,0,31,14,214,178,100,9,15,8,9,7,1,0,0
1,4.0,22,7,135,9,800,12,0,29,11,219,188,100,9,17,3,12,7,0,0,5
1,5.0,15,4,132,10,800,17,0,32,10,222,188,100,9,17,6,12,5,1,2,6
1,6.0,14,3,128,12,800,16,0,28,10,221,189,100,10,18,2,16,4,0,5,7
1,7.0,9,0,125,14,800,16,0,27,10,222,193,100,8,21,1,15,3,0,6,9
1,8.0,4,0,125,15,800,17,0,27,7,222,193,100,8,21,2,17,3,0,4,11
2,0.0,400,240,240,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1.0,137,99,149,0,800,7,0,31,15,133,115,91,4,11,10,1,0,0,0,0
2,2.0,52,45,140,2,800,13,0,37,12,184,156,100,10,18,20,7,0,0,0,0
2,3.0,31,21,138,4,800,22,1,43,16,205,167,100,9,16,18,10,3,0,2,0
2,4.0,20,10,138,6,800,21,0,43,19,216,170,100,10,16,11,8,9,1,1,1
2,5.0,17,8,133,9,800,22,0,36,15,218,173,100,11,16,7,10,9,1,2,5
2,6.0,13,3,129,12,800,22,0,37,15,219,181,100,6,16,1,13,8,0,4,7
2,7.0,8,0,128,12,800,25,0,35,12,222,183,100,8,16,2,13,9,0,5,7
2,8.0,10,0,126,14,800,28,0,35,12,221,182,100,4,17,4,12,7,1,5,9
3,0.0,400,240,240,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1.0,141,105,154,0,800,9,1,40,10,133,114,86,3,5,11,0,0,0,0,0
3,2.0,52,40,139,0,800,17,0,43,18,191,154,100,12,14,19,4,2,0,1,0
3,3.0,27,20,138,2,800,16,1,40,16,207,170,100,17,18,12,8,6,0,1,1
3,4.0,25,8,135,8,800,18,0,37,18,218,175,100,10,18,10,10,7,0,3,2
3,5.0,13,3,132,10,800,21,0,35,16,219,178,100,10,22,9,10,8,0,2,6
3,6.0,10,3,130,11,800,22,0,37,15,218,178,100,10,20,4,12,9,0,2,8
