run,time,cat,S,SO3,H2,photon,electron,hole,cat_H2O,HS,OH,cat_HS,cat_sulfite,cat_H,cat_OH,cat_HS0,cat_S0,cat_HS2,HS2,S2O3,cat_S2O3
1,0.0,400,240,240,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1.0,144,105,152,0,800,5,0,34,8,132,119,88,3,4,6,2,0,0,0,0
1,2.0,59,45,140,3,800,9,0,42,15,188,155,100,10,12,11,8,3,0,0,0
1,3.0,38,19,139,6,800,13,0,41,12,213,177,100,8,10,10,13,3,1,1,0
1,4.0,17,5,137,6,800,19,0,39,18,224,177,100,12,13,11,12,7,0,2,1
1,5.0,12,2,135,7,800,20,0,39,17,226,181,100,11,12,8,13,7,0,3,2
1,6.0,11,2,132,9,800,19,0,38,14,226,187,100,8,12,5,12,6,0,5,3
1,7.0,9,1,128,11,800,22,1,40,13,227,189,100,6,13,5,10,5,0,8,4
1,8.0,7,0,125,11,800,20,0,38,13,228,191,100,9,11,2,15,2,0,10,5
2,0.0,400,240,240,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1.0,141,120,140,0,800,9,0,33,9,114,97,100,5,10,13,1,0,0,0,0
2,2.0,68,52,140,2,800,14,1,33,16,176,141,100,14,16,14,11,3,0,0,0
2,3.0,47,21,137,8,800,13,0,23,20,204,156,100,17,24,10,12,9,0,1,2
2,4.0,31,11,133,14,800,18,0,26,13,213,168,100,9,21,6,15,10,0,3,4
2,5.0,28,4,126,16,800,24,0,25,12,220,173,100,9,17,3,18,6,2,6,8
2,6.0,17,1,120,17,800,24,0,26,10,223,182,100,9,18,1,16,4,1,10,10
2,7.0,8,0,118,17,800,24,0,26,9,223,185,100,10,19,0,16,4,0,9,13
2,8.0,8,0,116,19,800,26,0,28,9,222,185,100,6,19,1,17,2,0,10,14
3,0.0,400,240,240,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1.0,144,112,148,0,800,5,1,39,9,125,113,92,2,4,5,1,0,0,0,0
3,2.0,57,46,138,1,800,13,2,44,13,188,160,100,10,11,12,3,2,0,1,1
3,3.0,31,17,137,3,800,19,0,43,16,216,171,100,14,10,15,10,4,0,1,2
3,4.0,18,5,134,9,800,18,0,41,16,226,180,100,9,12,8,11,7,0,2,4
3,5.0,18,2,130,11,800,20,0,37,12,228,184,100,10,12,4,12,8,0,5,5
3,6.0,12,1,128,12,800,23,0,39,10,228,185,100,9,11,3,13,6,2,3,9
3,7.0,11,0,124,14,800,28,0,38,12,229,181,100,7,11,6,13,6,0,3,13
3,8.0,7,0,121,15,800,26,0,38,10,227,185,100,8,14,3,13,4,1,5,14
