run,cat,S,SO3,H2,photon,electron,hole,cat_H2O,HS,OH,cat_HS,cat_sulfite,cat_H,cat_OH,cat_HS0,cat_S0,cat_HS2,HS2,S2O3,cat_S2O3
1,0,8,218,0,800,1,0,5,159,231,72,22,0,0,0,1,0,0,0,0
2,0,14,221,0,800,3,0,3,148,226,75,19,0,0,3,0,0,0,0,0
3,0,10,217,0,800,1,0,7,160,230,69,23,0,0,1,0,0,0,0,0
run,cat,S,SO3,H2,photon,electron,hole,cat_H2O,HS,OH,cat_HS,cat_sulfite,cat_H,cat_OH,cat_HS0,cat_S0,cat_HS2,HS2,S2O3,cat_S2O3
1,1,11,157,3,800,11,0,29,49,221,162,82,2,7,6,5,3,0,0,1
2,5,8,157,5,800,15,0,28,52,223,155,78,5,9,8,8,2,0,4,1
3,2,6,157,1,800,6,0,31,63,227,160,83,3,8,7,4,0,0,0,0
run,cat,S,SO3,H2,photon,electron,hole,cat_H2O,HS,OH,cat_HS,cat_sulfite,cat_H,cat_OH,cat_HS0,cat_S0,cat_HS2,HS2,S2O3,cat_S2O3
1,26,6,131,8,800,27,0,32,13,219,175,100,12,14,7,10,10,0,3,6
2,28,11,132,10,800,18,0,30,15,211,170,100,14,22,5,13,9,0,4,4
3,10,6,134,8,800,11,0,43,14,224,183,100,16,17,5,12,7,0,3,3
run,cat,S,SO3,H2,photon,electron,hole,cat_H2O,HS,OH,cat_HS,cat_sulfite,cat_H,cat_OH,cat_HS0,cat_S0,cat_HS2,HS2,S2O3,cat_S2O3
1,204,8,139,9,800,2,3,180,2,180,186,100,28,65,5,26,5,1,0,1
2,207,4,139,17,800,1,3,173,1,179,183,100,21,68,4,39,4,0,0,1
3,197,8,138,11,800,1,4,181,1,182,181,100,33,67,3,27,9,0,0,2
