run,time,cat,S,SO3,H2,photon,electron,hole,cat_H2O,HS,OH,cat_HS,cat_sulfite,cat_H,cat_OH,cat_HS0,cat_S0,cat_HS2,HS2,S2O3,cat_S2O3
1,0.0,400,240,240,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1.0,148,97,161,0,800,7,0,37,14,137,121,78,2,7,7,0,0,0,1,0
1,2.0,65,36,138,1,800,16,1,37,20,192,161,100,8,9,8,9,2,0,1,1
1,3.0,38,19,136,4,800,14,0,37,18,206,175,100,10,15,8,12,2,0,1,3
1,4.0,20,7,134,6,800,14,0,39,11,215,192,100,10,15,1,15,4,0,2,4
1,5.0,14,1,130,7,800,15,0,36,15,220,192,100,13,19,1,13,4,0,5,5
1,6.0,7,1,129,8,800,18,0,38,10,217,195,100,11,20,1,14,4,0,4,7
1,7.0,7,0,128,9,800,20,0,40,10,218,195,100,9,19,2,15,3,0,5,7
1,8.0,6,0,127,11,800,23,0,42,10,218,193,100,5,17,3,17,2,0,4,9
2,0.0,400,240,240,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1.0,150,108,157,0,800,3,0,37,6,130,121,83,2,2,3,2,0,0,0,0
2,2.0,64,45,139,1,800,11,0,45,17,186,160,100,6,9,9,6,1,0,1,0
2,3.0,35,20,138,2,800,18,0,40,18,207,169,100,13,13,13,12,3,0,0,2
2,4.0,20,8,136,6,800,13,0,42,16,218,184,100,11,16,7,13,3,1,1,3
2,5.0,20,4,132,8,800,18,0,41,16,221,186,100,8,14,6,14,3,0,5,3
2,6.0,11,1,130,9,800,15,0,37,11,223,195,100,10,14,1,18,2,0,6,4
2,7.0,8,1,130,11,800,15,0,41,11,222,195,100,6,15,1,18,2,0,6,4
2,8.0,5,0,129,11,800,17,0,42,11,223,195,100,6,14,2,19,1,0,6,5
3,0.0,400,240,240,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1.0,130,93,159,0,800,5,0,44,18,143,118,81,6,10,11,0,0,0,0,0
3,2.0,41,39,140,0,800,10,0,54,20,194,160,100,11,13,16,5,0,0,0,0
3,3.0,19,15,140,2,800,10,0,48,20,215,175,100,16,16,12,10,4,0,0,0
3,4.0,15,5,136,6,800,11,0,49,20,223,187,100,9,15,8,12,2,0,3,1
3,5.0,11,4,134,8,800,12,0,48,15,222,192,100,7,16,6,13,2,0,4,2
3,6.0,5,2,133,9,800,11,0,48,15,222,194,100,7,19,5,13,2,0,3,4
3,7.0,3,1,130,9,800,10,0,48,14,223,199,100,8,17,1,15,0,0,4,6
3,8.0,8,0,130,11,800,12,0,47,14,224,197,100,5,16,1,16,1,0,4,6
