run,cat,S,SO3,H2,photon,electron,hole,cat_H2O,HS,OH,cat_HS,cat_sulfite,cat_H,cat_OH,cat_HS0,cat_S0,cat_HS2,HS2,S2O3,cat_S2O3
1,0,10,215,0,800,1,0,10,165,230,64,25,0,0,1,0,0,0,0,0
2,0,7,217,0,800,0,0,9,165,233,68,23,0,0,0,0,0,0,0,0
3,0,13,222,0,800,0,0,5,152,227,74,18,1,1,1,0,0,0,0,0
run,cat,S,SO3,H2,photon,electron,hole,cat_H2O,HS,OH,cat_HS,cat_sulfite,cat_H,cat_OH,cat_HS0,cat_S0,cat_HS2,HS2,S2O3,cat_S2O3
1,4,10,151,3,800,10,0,19,41,227,173,87,2,4,6,2,3,0,2,0
2,2,7,148,2,800,10,0,24,56,224,160,91,4,7,4,6,2,1,1,0
3,0,7,157,1,800,7,0,34,58,227,164,82,3,8,6,0,2,0,1,0
run,cat,S,SO3,H2,photon,electron,hole,cat_H2O,HS,OH,cat_HS,cat_sulfite,cat_H,cat_OH,cat_HS0,cat_S0,cat_HS2,HS2,S2O3,cat_S2O3
1,19,8,136,6,800,8,1,48,20,222,189,100,8,14,5,10,2,0,0,4
2,16,5,139,6,800,12,1,49,19,223,183,100,11,12,7,19,2,1,0,1
3,13,6,137,5,800,8,0,45,16,221,189,100,14,15,4,16,3,0,2,1
run,cat,S,SO3,H2,photon,electron,hole,cat_H2O,HS,OH,cat_HS,cat_sulfite,cat_H,cat_OH,cat_HS0,cat_S0,cat_HS2,HS2,S2O3,cat_S2O3
1,202,10,140,6,800,2,2,191,0,175,197,100,21,64,2,17,6,1,0,0
2,204,9,140,4,800,3,1,186,1,171,201,100,19,65,3,18,4,0,0,0
3,186,8,140,8,800,4,1,201,1,179,187,100,25,59,7,33,2,0,0,0
