run,time,cat,S,SO3,H2,photon,electron,hole,cat_H2O,HS,OH,cat_HS,cat_sulfite,cat_H,cat_OH,cat_HS0,cat_S0,cat_HS2,HS2,S2O3,cat_S2O3
1,0.0,100,240,240,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1.0,7,106,217,0,800,0,1,4,70,134,64,23,1,1,0,0,0,0,0,0
1,2.0,0,51,216,0,800,0,0,4,118,189,70,24,1,0,0,1,0,0,0,0
1,3.0,0,27,216,0,800,0,0,4,142,213,70,24,1,0,0,1,0,0,0,0
1,4.0,0,14,216,0,800,0,0,4,155,226,70,24,1,0,0,1,0,0,0,0
2,0.0,100,240,240,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1.0,7,94,221,0,800,0,0,7,82,143,64,19,0,3,0,0,0,0,0,0
2,2.0,0,37,219,0,800,0,0,7,134,200,69,21,0,3,0,0,0,0,0,0
2,3.0,0,13,219,0,800,0,0,7,158,224,69,21,0,3,0,0,0,0,0,0
2,4.0,0,7,219,0,800,0,0,7,164,230,69,21,0,3,0,0,0,0,0,0
3,0.0,100,240,240,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1.0,14,109,222,0,800,2,0,4,70,128,59,18,0,3,2,0,0,0,0,0
3,2.0,1,45,218,0,800,3,0,4,125,192,67,22,0,3,3,0,0,0,0,0
3,3.0,0,17,218,0,800,3,0,4,152,220,68,22,0,3,3,0,0,0,0,0
3,4.0,0,10,218,0,800,3,0,4,159,227,68,22,0,3,3,0,0,0,0,0
run,time,cat,S,SO3,H2,photon,electron,hole,cat_H2O,HS,OH,cat_HS,cat_sulfite,cat_H,cat_OH,cat_HS0,cat_S0,cat_HS2,HS2,S2O3,cat_S2O3
1,0.0,300,240,240,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1.0,89,104,170,1,800,5,0,18,22,133,104,70,3,6,8,2,0,0,0,0
1,2.0,23,49,156,1,800,7,0,22,33,184,145,84,4,9,9,4,0,0,0,0
1,3.0,8,16,150,1,800,11,0,24,55,216,152,90,4,7,8,5,2,0,0,0
1,4.0,1,9,147,1,800,13,0,25,55,223,158,92,4,5,6,5,3,0,1,0
2,0.0,300,240,240,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1.0,74,92,164,0,800,7,0,20,19,148,121,76,1,0,7,1,0,0,0,0
2,2.0,10,41,152,0,800,8,0,25,32,196,155,88,4,6,11,1,0,0,0,0
