run,cat,S,SO3,H2,photon,electron,hole,cat_H2O,HS,OH,cat_HS,cat_sulfite,cat_H,cat_OH,cat_HS0,cat_S0,cat_HS2,HS2,S2O3,cat_S2O3
1,0,8,223,0,800,2,0,10,159,232,71,17,0,0,2,0,0,0,0,0
2,0,9,213,0,800,1,0,4,163,231,66,27,1,0,1,1,0,0,0,0
3,0,8,225,0,800,2,0,8,155,230,76,14,0,1,0,0,0,0,0,1
run,cat,S,SO3,H2,photon,electron,hole,cat_H2O,HS,OH,cat_HS,cat_sulfite,cat_H,cat_OH,cat_HS0,cat_S0,cat_HS2,HS2,S2O3,cat_S2O3
1,0,11,159,0,800,4,0,27,43,221,180,80,3,6,0,3,1,0,1,0
2,0,10,168,0,800,2,0,37,49,225,176,72,3,7,4,1,0,0,0,0
3,0,7,148,0,800,5,0,28,62,223,165,92,1,8,3,3,0,0,0,0
run,cat,S,SO3,H2,photon,electron,hole,cat_H2O,HS,OH,cat_HS,cat_sulfite,cat_H,cat_OH,cat_HS0,cat_S0,cat_HS2,HS2,S2O3,cat_S2O3
1,17,7,140,3,800,5,0,44,10,221,207,100,5,14,4,6,3,0,0,0
2,8,5,139,1,800,3,0,64,25,219,201,100,5,14,0,8,0,0,1,0
3,18,8,140,1,800,4,0,56,14,227,204,100,8,5,0,6,3,1,0,0
run,cat,S,SO3,H2,photon,electron,hole,cat_H2O,HS,OH,cat_HS,cat_sulfite,cat_H,cat_OH,cat_HS0,cat_S0,cat_HS2,HS2,S2O3,cat_S2O3
1,198,11,140,1,800,2,0,214,1,182,215,100,9,51,6,7,0,0,0,0
2,204,11,140,3,800,1,1,197,0,174,211,100,12,58,3,15,0,0,0,0
3,190,7,140,5,800,0,1,196,1,167,208,100,15,68,0,22,1,0,0,0
