run,time,cat,S,SO3,H2,photon,electron,hole,cat_H2O,HS,OH,cat_HS,cat_sulfite,cat_H,cat_OH,cat_HS0,cat_S0,cat_HS2,HS2,S2O3,cat_S2O3
1,0,400,240,240,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,151,101,162,0,800,7,0,32,12,134,114,78,6,6,8,5,0,0,0,0
1,2,50,49,138,4,800,10,0,34,13,181,155,100,7,13,9,8,1,1,2,0
1,3,20,21,135,6,800,15,1,36,17,207,176,100,5,14,9,8,2,0,3,2
1,4,12,12,134,7,800,16,0,35,14,216,185,100,5,14,4,3,8,0,2,4
2,0,400,240,240,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,149,110,148,0,800,7,1,29,10,125,110,92,4,7,7,1,1,0,0,0
2,2,54,45,140,1,800,10,0,35,15,184,162,100,6,14,8,0,4,1,0,0
2,3,23,16,136,2,800,9,0,38,19,212,189,100,7,14,5,3,2,0,3,1
2,4,11,8,136,2,800,11,0,39,16,219,197,100,8,16,6,1,3,1,3,1
3,0,400,240,240,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,138,95,147,0,800,7,0,28,16,144,114,93,8,5,10,3,1,0,0,0
3,2,53,33,140,2,800,10,0,34,12,203,175,100,6,6,7,3,4,1,0,0
3,3,22,13,137,3,800,7,0,36,15,219,194,100,8,12,5,4,3,0,3,0
3,4,14,8,134,4,800,7,0,38,14,221,202,100,7,11,0,8,1,0,5,1
