run,cat,S,SO3,H2,photon,electron,hole,cat_H2O,HS,OH,cat_HS,cat_sulfite,cat_H,cat_OH,cat_HS0,cat_S0,cat_HS2,HS2,S2O3,cat_S2O3
1,54,5,5,13,800,21,0,50,4,208,173,18,12,28,5,20,7,9,0,1
2,54,7,8,10,800,7,1,58,3,206,196,14,10,34,0,10,4,7,1,1
3,69,13,6,19,800,21,0,51,2,211,160,17,7,23,7,17,7,13,0,1
run,cat,S,SO3,H2,photon,electron,hole,cat_H2O,HS,OH,cat_HS,cat_sulfite,cat_H,cat_OH,cat_HS0,cat_S0,cat_HS2,HS2,S2O3,cat_S2O3
1,27,5,15,11,800,15,0,46,9,218,178,41,15,24,6,14,5,7,2,2
2,37,13,17,10,800,5,0,60,8,214,188,39,10,20,1,12,4,3,1,3
3,43,12,19,13,800,16,0,44,4,206,175,39,9,28,4,11,6,10,0,2
run,cat,S,SO3,H2,photon,electron,hole,cat_H2O,HS,OH,cat_HS,cat_sulfite,cat_H,cat_OH,cat_HS0,cat_S0,cat_HS2,HS2,S2O3,cat_S2O3
1,19,9,46,7,800,11,0,54,14,220,188,69,9,16,7,9,4,0,2,3
2,26,11,53,13,800,15,0,45,11,212,180,60,4,23,6,9,6,2,3,4
3,23,11,40,6,800,13,0,50,12,216,191,76,5,14,6,8,3,1,0,4
run,cat,S,SO3,H2,photon,electron,hole,cat_H2O,HS,OH,cat_HS,cat_sulfite,cat_H,cat_OH,cat_HS0,cat_S0,cat_HS2,HS2,S2O3,cat_S2O3
1,10,7,138,3,800,9,0,48,21,217,191,100,8,18,6,7,3,0,2,0
2,13,6,135,4,800,17,0,41,19,222,189,100,6,8,5,10,3,0,2,3
3,11,5,134,0,800,14,0,53,25,223,190,100,12,11,5,5,2,0,5,1
run,cat,S,SO3,H2,photon,electron,hole,cat_H2O,HS,OH,cat_HS,cat_sulfite,cat_H,cat_OH,cat_HS0,cat_S0,cat_HS2,HS2,S2O3,cat_S2O3
1,13,7,614,3,800,16,1,40,22,221,188,100,8,13,5,2,5,0,1,5
2,12,11,615,4,800,6,0,51,16,224,196,100,8,10,5,5,1,0,4,1
3,10,8,614,9,800,5,0,47,18,220,194,100,3,17,1,7,3,0,3,3
