run,time,cat,S,SO3,H2,photon,electron,hole,cat_H2O,HS,OH,cat_HS,cat_sulfite,cat_H,cat_OH,cat_HS0,cat_S0,cat_HS2,HS2,S2O3,cat_S2O3
1,0.0,400,240,240,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1.0,147,100,155,0,800,0,0,37,12,140,126,85,2,1,1,1,0,0,0,0
1,2.0,61,46,140,0,800,4,0,54,12,192,176,100,2,1,3,3,0,0,0,0
1,3.0,28,18,140,1,800,2,0,56,18,216,196,100,4,8,4,4,0,0,0,0
1,4.0,13,6,140,2,800,1,0,55,14,227,212,100,3,9,3,5,0,0,0,0
1,5.0,7,1,139,2,800,1,0,55,11,232,221,100,3,8,1,5,0,0,1,0
1,6.0,4,1,139,2,800,1,0,56,10,231,222,100,3,9,1,5,0,0,1,0
1,7.0,4,1,139,2,800,1,0,56,10,231,222,100,3,9,1,5,0,0,1,0
1,8.0,4,0,139,2,800,1,0,56,11,232,222,100,3,9,1,5,0,0,1,0
2,0.0,400,240,240,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1.0,154,108,153,0,800,0,0,35,11,129,121,87,0,3,0,0,0,0,0,0
2,2.0,70,48,140,0,800,2,0,53,20,187,170,100,0,5,2,0,0,0,0,0
2,3.0,32,23,140,0,800,3,0,61,16,212,196,100,2,5,2,1,1,0,0,0
2,4.0,18,11,140,0,800,5,0,63,19,221,203,100,2,8,4,1,1,0,0,0
2,5.0,9,5,140,0,800,5,0,66,19,226,209,100,2,9,3,0,2,0,0,0
2,6.0,6,5,139,0,800,5,0,66,17,224,212,100,2,11,3,0,0,1,1,0
2,7.0,3,3,138,0,800,5,0,66,19,226,213,100,2,11,3,0,0,0,0,2
2,8.0,2,1,138,0,800,5,0,67,20,228,214,100,2,10,2,1,0,0,0,2
3,0.0,400,240,240,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1.0,135,99,157,0,800,2,0,44,13,130,126,83,0,10,1,1,0,0,0,0
3,2.0,53,43,140,0,800,4,0,52,16,183,176,100,1,13,3,2,0,0,0,0
3,3.0,25,22,140,0,800,4,0,55,16,200,194,100,4,17,0,2,3,0,0,0
3,4.0,15,10,140,0,800,4,0,55,20,210,202,100,4,19,0,2,3,0,0,0
3,5.0,2,6,139,0,800,4,0,63,19,214,208,100,4,19,0,2,2,0,1,0
3,6.0,1,2,139,0,800,4,0,63,23,217,208,100,4,20,0,2,2,0,1,0
3,7.0,0,2,139,0,800,4,0,63,22,217,209,100,4,20,0,2,2,0,1,0
3,8.0,0,0,138,0,800,4,0,63,25,219,209,100,4,20,0,2,1,0,1,1
