run,time,cat,S,SO3,H2,photon,electron,hole,cat_H2O,HS,OH,cat_HS,cat_sulfite,cat_H,cat_OH,cat_HS0,cat_S0,cat_HS2,HS2,S2O3,cat_S2O3
1,0.0,400,240,24,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1.0,220,112,16,0,800,0,0,45,7,122,121,8,0,6,0,0,0,0,0,0
1,2.0,111,44,11,0,800,0,0,70,9,181,184,13,3,16,1,2,0,0,0,0
1,3.0,76,20,11,1,800,0,0,76,6,203,209,13,3,19,1,2,1,0,0,0
1,4.0,59,11,11,1,800,1,0,82,5,212,215,13,6,18,1,6,0,1,0,0
2,0.0,400,240,24,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1.0,208,93,16,0,800,1,0,42,10,142,136,8,0,5,1,0,0,0,0,0
2,2.0,121,40,13,0,800,1,0,68,10,190,188,11,1,10,0,0,1,0,0,0
2,3.0,67,18,12,0,800,1,0,80,2,203,216,12,3,19,0,2,1,0,0,0
2,4.0,41,8,11,0,800,0,0,88,4,207,223,13,5,26,0,3,1,0,0,0
3,0.0,400,240,24,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1.0,203,103,14,0,800,1,0,51,4,134,132,10,0,3,1,0,0,0,0,0
3,2.0,105,49,10,0,800,3,0,80,5,181,180,14,3,12,5,1,0,0,0,0
3,3.0,71,27,9,1,800,3,0,89,9,198,194,15,5,18,4,2,2,0,0,0
3,4.0,41,12,7,1,800,3,0,96,5,209,211,17,7,20,2,6,0,2,0,0
run,time,cat,S,SO3,H2,photon,electron,hole,cat_H2O,HS,OH,cat_HS,cat_sulfite,cat_H,cat_OH,cat_HS0,cat_S0,cat_HS2,HS2,S2O3,cat_S2O3
1,0.0,400,240,60,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1.0,208,106,32,0,800,1,0,30,6,128,127,28,0,6,1,0,0,0,0,0
1,2.0,120,45,25,0,800,3,0,47,7,185,183,35,2,10,2,1,0,1,0,0
