run,time,cat,S,SO3,H2,photon,electron,hole,cat_H2O,HS,OH,cat_HS,cat_sulfite,cat_H,cat_OH,cat_HS0,cat_S0,cat_HS2,HS2,S2O3,cat_S2O3
1,0.0,400,240,240,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1.0,153,117,157,1,800,6,0,35,6,119,104,83,5,8,9,2,1,0,0,0
1,2.0,48,47,140,3,800,11,1,44,20,184,148,100,9,15,13,6,3,0,0,0
1,3.0,19,21,140,5,800,12,1,37,22,208,161,100,15,19,11,9,7,1,0,0
1,4.0,8,10,133,9,800,13,0,34,21,216,174,100,11,18,6,14,4,0,5,2
1,5.0,9,4,131,12,800,14,0,34,21,221,180,100,6,17,3,15,3,1,7,2
1,6.0,5,0,129,12,800,16,0,34,21,224,183,100,7,18,2,13,5,0,9,2
1,7.0,2,0,125,12,800,15,0,32,21,224,186,100,9,19,1,13,2,0,11,4
1,8.0,1,0,124,13,800,15,0,33,21,224,187,100,7,19,0,12,2,0,10,6
2,0.0,400,240,240,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1.0,136,105,163,0,800,9,2,41,8,130,110,77,10,10,11,4,1,0,0,0
2,2.0,53,45,138,5,800,13,0,40,20,182,143,100,11,15,11,15,2,0,1,1
2,3.0,28,18,136,8,800,16,0,40,21,208,162,100,11,17,7,12,7,1,1,3
2,4.0,12,10,135,10,800,13,0,39,18,214,172,100,12,18,3,18,7,0,2,3
2,5.0,12,1,133,15,800,14,0,39,18,223,179,100,5,17,2,21,5,1,3,4
2,6.0,7,1,130,15,800,15,0,39,19,223,178,100,7,18,2,20,4,1,4,6
2,7.0,3,1,128,16,800,16,0,40,16,223,182,100,5,17,2,21,3,0,5,7
2,8.0,1,1,126,16,800,19,0,42,14,223,183,100,5,16,2,20,3,0,7,7
3,0.0,400,240,240,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1.0,152,119,154,2,800,9,0,36,6,116,99,86,3,8,12,4,0,0,0,0
3,2.0,57,46,140,4,800,21,1,37,15,189,138,100,13,10,22,13,3,0,0,0
3,3.0,33,20,136,8,800,20,0,32,17,211,157,100,14,15,14,12,8,0,3,1
3,4.0,17,7,129,12,800,22,0,32,12,223,172,100,14,17,8,10,9,1,7,4
3,5.0,15,4,125,15,800,27,0,31,12,225,170,100,12,20,12,9,7,2,8,7
3,6.0,15,1,121,19,800,27,1,26,9,228,175,100,10,18,5,13,9,0,10,9
3,7.0,17,0,116,21,800,30,0,26,11,229,172,100,9,19,3,8,8,3,10,14
3,8.0,7,0,109,21,800,32,1,25,9,227,177,100,12,22,3,8,6,0,15,16
