run,time,cat,S,SO3,H2,photon,electron,hole,cat_H2O,HS,OH,cat_HS,cat_sulfite,cat_H,cat_OH,cat_HS0,cat_S0,cat_HS2,HS2,S2O3,cat_S2O3
1,0.0,100,240,240,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1.0,8,105,222,0,800,3,0,6,67,135,65,18,0,0,3,0,0,0,0,0
1,2.0,0,47,222,0,800,3,0,7,120,193,69,18,1,1,4,0,0,0,0,0
1,3.0,0,17,222,0,800,3,0,7,150,223,69,18,1,1,4,0,0,0,0,0
1,4.0,0,9,222,0,800,3,0,7,158,231,69,18,1,1,4,0,0,0,0,0
2,0.0,100,240,240,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1.0,4,108,221,0,800,2,0,8,63,132,67,19,0,0,2,0,0,0,0,0
2,2.0,0,38,221,0,800,3,0,8,129,202,70,19,0,0,3,0,0,0,0,0
2,3.0,0,16,221,0,800,3,0,8,151,224,70,19,0,0,3,0,0,0,0,0
2,4.0,0,5,221,0,800,3,0,8,162,235,70,19,0,0,3,0,0,0,0,0
3,0.0,100,240,240,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1.0,8,112,219,0,800,1,0,8,65,128,62,21,0,0,1,0,0,0,0,0
3,2.0,0,45,218,0,800,1,0,9,126,195,68,22,0,0,1,0,0,0,0,0
3,3.0,0,18,218,0,800,1,0,9,153,222,68,22,0,0,1,0,0,0,0,0
3,4.0,0,10,218,0,800,1,0,9,161,230,68,22,0,0,1,0,0,0,0,0
run,time,cat,S,SO3,H2,photon,electron,hole,cat_H2O,HS,OH,cat_HS,cat_sulfite,cat_H,cat_OH,cat_HS0,cat_S0,cat_HS2,HS2,S2O3,cat_S2O3
1,0.0,300,240,240,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1.0,75,104,165,0,800,4,2,24,19,133,112,75,3,6,5,0,0,0,0,0
1,2.0,14,46,152,1,800,7,0,23,37,189,141,88,7,10,10,2,1,1,0,0
1,3.0,1,19,148,1,800,6,1,21,52,215,154,90,10,8,4,7,1,0,2,0
1,4.0,2,9,147,2,800,6,0,21,59,225,156,91,8,7,2,6,3,0,2,0
2,0.0,300,240,240,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1.0,94,100,175,1,800,6,1,18,22,139,109,65,2,3,7,2,0,0,0,0
2,2.0,14,40,158,2,800,22,0,20,31,197,140,82,3,3,19,4,3,0,0,0
2,3.0,3,17,155,2,800,22,0,19,41,220,154,83,4,2,15,3,4,0,2,0
2,4.0,0,7,152,2,800,22,0,19,47,229,160,84,4,1,12,4,2,1,4,0
3,0.0,300,240,240,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1.0,88,109,169,0,800,6,0,22,17,129,106,71,2,3,7,1,0,0,0,0
3,2.0,15,56,153,0,800,12,0,25,30,180,135,87,7,5,13,6,0,0,0,0
3,3.0,4,23,152,1,800,12,0,25,50,211,147,88,6,5,9,7,2,0,0,0
3,4.0,2,6,150,2,800,12,0,24,62,228,151,90,5,5,7,6,3,1,0,0
run,time,cat,S,SO3,H2,photon,electron,hole,cat_H2O,HS,OH,cat_HS,cat_sulfite,cat_H,cat_OH,cat_HS0,cat_S0,cat_HS2,HS2,S2O3,cat_S2O3
1,0.0,400,240,240,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1.0,141,108,159,0,800,6,1,37,10,125,108,81,9,12,8,2,2,0,0,0
1,2.0,53,46,138,3,800,12,0,41,14,183,155,100,9,16,11,4,3,1,2,0
1,3.0,26,20,137,5,800,20,0,40,14,208,169,100,10,15,12,6,6,2,1,2
1,4.0,13,13,133,7,800,18,1,39,14,215,178,100,11,12,5,13,5,0,3,4
2,0.0,400,240,240,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1.0,120,86,150,1,800,9,1,29,16,147,118,90,10,14,14,4,1,0,0,0
2,2.0,46,35,139,4,800,23,1,32,19,197,144,100,13,12,17,8,8,0,0,1
2,3.0,27,16,136,8,800,25,0,29,19,215,153,100,15,11,12,14,11,0,3,1
2,4.0,18,6,132,12,800,20,0,24,17,225,167,100,14,15,7,13,9,2,6,2
3,0.0,400,240,240,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1.0,121,91,158,0,800,5,1,32,13,139,120,82,12,17,11,5,0,0,0,0
3,2.0,36,32,141,4,800,16,2,34,14,187,161,97,13,23,10,13,4,0,0,2
3,3.0,22,8,135,7,800,16,0,32,23,208,171,100,13,25,4,13,6,2,1,4
3,4.0,6,2,129,10,800,16,0,30,17,212,185,100,11,28,3,14,4,0,5,6
run,time,cat,S,SO3,H2,photon,electron,hole,cat_H2O,HS,OH,cat_HS,cat_sulfite,cat_H,cat_OH,cat_HS0,cat_S0,cat_HS2,HS2,S2O3,cat_S2O3
1,0.0,800,240,240,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1.0,444,99,139,5,800,8,2,90,1,130,117,100,8,20,12,6,2,0,0,1
1,2.0,305,46,136,12,800,5,0,134,1,169,154,100,14,38,7,14,7,0,0,4
1,3.0,241,27,133,28,800,8,4,147,0,181,148,100,12,55,7,25,13,0,0,7
1,4.0,192,13,121,40,800,5,0,148,2,187,138,100,21,69,3,41,10,2,3,16
2,0.0,800,240,240,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1.0,471,108,140,0,800,9,0,76,0,123,113,100,10,12,11,6,1,0,0,0
2,2.0,337,54,136,8,800,15,1,117,2,162,147,100,11,30,9,10,6,1,2,2
2,3.0,234,17,134,21,800,14,3,132,0,179,157,100,19,58,4,26,15,0,1,5
2,4.0,181,4,127,38,800,11,1,130,4,176,133,100,26,84,4,48,16,1,4,9
3,0.0,800,240,240,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1.0,463,104,139,3,800,6,5,70,3,125,113,100,14,22,9,6,2,0,0,1
3,2.0,333,47,137,13,800,8,2,106,0,171,151,100,13,34,8,17,7,0,0,3
3,3.0,256,24,133,21,800,5,0,133,0,185,162,100,14,49,5,20,9,2,0,7
3,4.0,186,6,127,36,800,6,3,137,0,194,147,100,25,71,6,38,14,1,2,11
