run,cat,S,SO3,H2,photon,electron,hole,cat_H2O,HS,OH,cat_HS,cat_sulfite,cat_H,cat_OH,cat_HS0,cat_S0,cat_HS2,HS2,S2O3,cat_S2O3
1,0,9,222,0,800,3,0,7,158,231,69,18,1,1,4,0,0,0,0,0
2,0,5,221,0,800,3,0,8,162,235,70,19,0,0,3,0,0,0,0,0
3,0,10,218,0,800,1,0,9,161,230,68,22,0,0,1,0,0,0,0,0
run,cat,S,SO3,H2,photon,electron,hole,cat_H2O,HS,OH,cat_HS,cat_sulfite,cat_H,cat_OH,cat_HS0,cat_S0,cat_HS2,HS2,S2O3,cat_S2O3
1,2,9,147,2,800,6,0,21,59,225,156,91,8,7,2,6,3,0,2,0
2,0,7,152,2,800,22,0,19,47,229,160,84,4,1,12,4,2,1,4,0
3,2,6,150,2,800,12,0,24,62,228,151,90,5,5,7,6,3,1,0,0
run,cat,S,SO3,H2,photon,electron,hole,cat_H2O,HS,OH,cat_HS,cat_sulfite,cat_H,cat_OH,cat_HS0,cat_S0,cat_HS2,HS2,S2O3,cat_S2O3
1,13,13,133,7,800,18,1,39,14,215,178,100,11,12,5,13,5,0,3,4
2,18,6,132,12,800,20,0,24,17,225,167,100,14,15,7,13,9,2,6,2
3,6,2,129,10,800,16,0,30,17,212,185,100,11,28,3,14,4,0,5,6
run,cat,S,SO3,H2,photon,electron,hole,cat_H2O,HS,OH,cat_HS,cat_sulfite,cat_H,cat_OH,cat_HS0,cat_S0,cat_HS2,HS2,S2O3,cat_S2O3
1,192,13,121,40,800,5,0,148,2,187,138,100,21,69,3,41,10,2,3,16
2,181,4,127,38,800,11,1,130,4,176,133,100,26,84,4,48,16,1,4,9
3,186,6,127,36,800,6,3,137,0,194,147,100,25,71,6,38,14,1,2,11
