run,time,cat,S,SO3,H2,photon,electron,hole,cat_H2O,HS,OH,cat_HS,cat_sulfite,cat_H,cat_OH,cat_HS0,cat_S0,cat_HS2,HS2,S2O3,cat_S2O3
1,0.0,400,12,240,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1.0,246,5,140,0,800,0,2,43,0,7,7,100,2,2,0,0,0,0,0,0
1,2.0,196,2,140,0,800,0,7,76,0,10,9,100,8,8,1,0,0,0,0,0
1,3.0,148,0,140,1,800,0,9,109,0,12,10,100,9,10,1,1,0,0,0,0
1,4.0,135,0,140,2,800,0,7,121,0,12,8,100,7,9,2,2,0,0,0,0
2,0.0,400,12,240,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1.0,245,1,140,1,800,0,2,39,0,11,9,100,2,3,1,1,0,0,0,0
2,2.0,201,0,140,1,800,1,4,70,0,11,9,100,4,6,2,1,0,0,0,0
2,3.0,146,0,140,2,800,0,6,99,0,10,8,100,6,10,2,2,0,0,0,0
2,4.0,111,0,140,4,800,0,14,114,0,10,6,100,12,18,2,4,0,0,0,0
3,0.0,400,12,240,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1.0,260,6,150,0,800,2,2,42,0,6,5,90,1,1,1,0,0,0,0,0
3,2.0,202,0,140,1,800,0,6,65,0,11,11,100,5,8,1,0,0,0,0,0
3,3.0,159,0,140,1,800,0,8,83,0,11,10,100,8,10,1,1,0,0,0,0
3,4.0,131,0,140,2,800,1,10,103,0,11,9,100,8,11,1,2,0,0,0,0
run,time,cat,S,SO3,H2,photon,electron,hole,cat_H2O,HS,OH,cat_HS,cat_sulfite,cat_H,cat_OH,cat_HS0,cat_S0,cat_HS2,HS2,S2O3,cat_S2O3
1,0.0,400,24,240,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1.0,249,12,140,0,800,0,3,33,1,11,11,100,3,4,0,0,0,0,0,0
1,2.0,196,6,140,0,800,0,2,65,1,14,13,100,6,9,3,1,0,0,0,0
1,3.0,142,4,140,0,800,0,2,97,0,16,15,100,7,9,3,2,0,0,0,0
1,4.0,121,2,140,2,800,1,2,112,0,18,14,100,5,9,4,4,0,0,0,0
2,0.0,400,24,240,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1.0,242,6,151,0,800,1,4,45,2,18,15,89,4,4,1,0,0,0,0,0
2,2.0,174,5,139,1,800,0,5,85,0,16,16,100,7,11,2,0,0,0,0,1
2,3.0,135,1,139,2,800,0,5,109,0,19,19,100,6,12,2,1,0,0,0,1
2,4.0,105,0,139,5,800,0,6,129,0,20,17,100,4,13,2,4,0,0,0,1
3,0.0,400,24,240,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1.0,238,11,140,0,800,1,2,42,0,11,11,100,3,4,1,1,0,0,0,0
3,2.0,181,6,140,3,800,2,11,75,1,16,14,100,6,12,1,2,0,0,0,0
3,3.0,137,4,140,4,800,0,10,96,0,18,15,100,7,14,2,3,0,0,0,0
3,4.0,108,1,140,4,800,0,8,112,0,21,15,100,8,13,3,5,0,0,0,0
run,time,cat,S,SO3,H2,photon,electron,hole,cat_H2O,HS,OH,cat_HS,cat_sulfite,cat_H,cat_OH,cat_HS0,cat_S0,cat_HS2,HS2,S2O3,cat_S2O3
1,0.0,400,60,240,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1.0,232,32,151,0,800,0,4,45,2,28,26,89,4,4,0,0,0,0,0,0
1,2.0,169,14,140,1,800,2,6,64,1,45,37,100,10,10,4,2,1,0,0,0
1,3.0,137,8,139,4,800,1,5,79,1,49,41,100,7,14,5,2,0,1,0,1
1,4.0,106,2,138,5,800,0,1,100,1,54,43,100,7,10,3,9,0,0,0,2
2,0.0,400,60,240,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1.0,221,31,151,0,800,2,4,52,1,28,25,89,5,5,2,1,0,0,0,0
2,2.0,163,15,140,2,800,1,1,73,0,41,35,100,6,10,6,4,0,0,0,0
2,3.0,116,4,140,3,800,0,0,94,2,47,41,100,7,14,4,7,1,0,0,0
2,4.0,99,1,140,4,800,1,1,107,0,50,45,100,6,14,1,5,4,0,0,0
3,0.0,400,60,240,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1.0,224,28,148,0,800,3,6,44,4,31,25,92,6,6,2,1,0,0,0,0
3,2.0,176,15,140,3,800,2,3,64,1,44,35,100,4,8,5,2,1,0,0,0
3,3.0,136,6,139,3,800,3,0,78,1,50,39,100,6,9,6,5,1,0,0,1
3,4.0,107,1,138,5,800,0,0,90,0,53,44,100,7,11,2,9,1,0,1,1
run,time,cat,S,SO3,H2,photon,electron,hole,cat_H2O,HS,OH,cat_HS,cat_sulfite,cat_H,cat_OH,cat_HS0,cat_S0,cat_HS2,HS2,S2O3,cat_S2O3
1,0.0,400,120,240,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1.0,200,53,142,1,800,1,3,29,4,65,60,98,3,7,3,0,0,0,0,0
1,2.0,135,17,140,3,800,0,5,45,6,96,91,100,5,15,3,3,0,0,0,0
1,3.0,99,8,139,5,800,0,1,55,0,104,97,100,7,14,4,10,0,0,1,0
1,4.0,70,5,138,8,800,0,1,65,1,99,93,100,8,24,3,12,2,0,0,2
2,0.0,400,120,240,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1.0,211,64,146,0,800,2,0,39,4,52,50,94,0,4,2,0,0,0,0,0
2,2.0,139,27,140,1,800,3,1,61,3,85,85,100,1,9,3,2,0,0,0,0
2,3.0,93,9,140,1,800,4,0,76,0,99,101,100,4,11,2,6,1,0,0,0
2,4.0,65,5,139,2,800,1,0,91,0,99,106,100,5,17,1,7,0,0,0,1
3,0.0,400,120,240,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1.0,175,53,149,0,800,3,2,54,1,62,60,91,5,9,5,1,0,0,0,0
3,2.0,120,21,140,1,800,3,0,68,6,89,82,100,6,13,5,4,1,0,0,0
3,3.0,78,7,138,2,800,1,1,85,7,102,95,100,9,18,3,2,2,0,0,2
3,4.0,59,6,138,4,800,3,0,97,0,102,99,100,6,16,3,6,2,0,0,2
run,time,cat,S,SO3,H2,photon,electron,hole,cat_H2O,HS,OH,cat_HS,cat_sulfite,cat_H,cat_OH,cat_HS0,cat_S0,cat_HS2,HS2,S2O3,cat_S2O3
1,0.0,400,240,240,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1.0,154,101,170,1,800,4,0,38,15,132,113,70,5,11,6,1,2,0,0,0
1,2.0,49,39,145,1,800,4,0,48,14,189,172,95,9,14,3,6,3,0,0,0
1,3.0,22,19,138,2,800,6,0,52,17,207,189,100,7,15,2,5,3,0,1,1
1,4.0,14,6,136,3,800,6,0,52,24,219,195,100,7,16,2,7,1,0,2,2
2,0.0,400,240,240,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1.0,142,92,159,0,800,4,1,34,11,145,131,81,3,4,3,1,1,0,0,0
2,2.0,55,44,139,1,800,5,0,43,11,186,174,100,5,11,5,5,0,0,0,1
2,3.0,25,21,139,1,800,6,0,50,14,208,192,100,6,11,4,6,1,0,0,1
2,4.0,10,9,138,1,800,7,0,53,15,218,203,100,6,12,2,5,2,0,1,1
3,0.0,400,240,240,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1.0,148,105,159,0,800,5,0,39,8,132,121,81,1,4,6,0,0,0,0,0
3,2.0,65,44,140,2,800,3,1,42,17,188,169,100,4,11,4,4,1,0,0,0
3,3.0,23,19,139,2,800,3,0,50,15,211,194,100,6,13,4,5,1,0,1,0
3,4.0,12,7,138,2,800,3,0,51,18,223,203,100,7,12,3,7,0,0,1,1
run,time,cat,S,SO3,H2,photon,electron,hole,cat_H2O,HS,OH,cat_HS,cat_sulfite,cat_H,cat_OH,cat_HS0,cat_S0,cat_HS2,HS2,S2O3,cat_S2O3
1,0.0,400,720,240,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1.0,22,333,179,0,800,4,0,27,104,381,278,61,1,6,4,1,0,0,0,0
1,2.0,0,158,176,0,800,5,0,27,260,556,296,64,1,6,5,1,0,0,0,0
1,3.0,0,72,176,0,800,5,0,27,344,642,298,64,1,5,3,1,1,0,0,0
1,4.0,0,30,175,0,800,5,0,27,385,684,300,64,1,4,2,2,0,0,1,0
2,0.0,400,720,240,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1.0,10,284,174,0,800,6,0,18,136,430,292,66,2,4,4,4,0,0,0,0
2,2.0,0,134,174,0,800,6,0,18,275,580,303,66,2,4,3,3,1,0,0,0
2,3.0,0,69,174,0,800,6,0,18,339,645,304,66,2,4,2,2,2,0,0,0
2,4.0,0,33,173,0,800,6,0,18,375,681,305,66,2,4,2,2,1,0,1,0
3,0.0,400,720,240,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1.0,27,331,177,0,800,6,0,25,113,380,269,63,1,8,5,2,0,0,0,0
3,2.0,0,143,175,0,800,6,0,25,277,565,293,65,1,9,3,4,0,0,0,0
3,3.0,0,75,175,0,800,6,0,25,344,633,294,65,1,8,2,5,0,0,0,0
3,4.0,0,30,175,0,800,6,0,25,389,678,294,65,1,8,2,5,0,0,0,0
