run,cat,S,SO3,H2,photon,electron,hole,cat_H2O,HS,OH,cat_HS,cat_sulfite,cat_H,cat_OH,cat_HS0,cat_S0,cat_HS2,HS2,S2O3,cat_S2O3
1,135,0,140,2,800,0,7,121,0,12,8,100,7,9,2,2,0,0,0,0
2,111,0,140,4,800,0,14,114,0,10,6,100,12,18,2,4,0,0,0,0
3,131,0,140,2,800,1,10,103,0,11,9,100,8,11,1,2,0,0,0,0
run,cat,S,SO3,H2,photon,electron,hole,cat_H2O,HS,OH,cat_HS,cat_sulfite,cat_H,cat_OH,cat_HS0,cat_S0,cat_HS2,HS2,S2O3,cat_S2O3
1,121,2,140,2,800,1,2,112,0,18,14,100,5,9,4,4,0,0,0,0
2,105,0,139,5,800,0,6,129,0,20,17,100,4,13,2,4,0,0,0,1
3,108,1,140,4,800,0,8,112,0,21,15,100,8,13,3,5,0,0,0,0
run,cat,S,SO3,H2,photon,electron,hole,cat_H2O,HS,OH,cat_HS,cat_sulfite,cat_H,cat_OH,cat_HS0,cat_S0,cat_HS2,HS2,S2O3,cat_S2O3
1,106,2,138,5,800,0,1,100,1,54,43,100,7,10,3,9,0,0,0,2
2,99,1,140,4,800,1,1,107,0,50,45,100,6,14,1,5,4,0,0,0
3,107,1,138,5,800,0,0,90,0,53,44,100,7,11,2,9,1,0,1,1
run,cat,S,SO3,H2,photon,electron,hole,cat_H2O,HS,OH,cat_HS,cat_sulfite,cat_H,cat_OH,cat_HS0,cat_S0,cat_HS2,HS2,S2O3,cat_S2O3
1,70,5,138,8,800,0,1,65,1,99,93,100,8,24,3,12,2,0,0,2
2,65,5,139,2,800,1,0,91,0,99,106,100,5,17,1,7,0,0,0,1
3,59,6,138,4,800,3,0,97,0,102,99,100,6,16,3,6,2,0,0,2
run,cat,S,SO3,H2,photon,electron,hole,cat_H2O,HS,OH,cat_HS,cat_sulfite,cat_H,cat_OH,cat_HS0,cat_S0,cat_HS2,HS2,S2O3,cat_S2O3
1,14,6,136,3,800,6,0,52,24,219,195,100,7,16,2,7,1,0,2,2
2,10,9,138,1,800,7,0,53,15,218,203,100,6,12,2,5,2,0,1,1
3,12,7,138,2,800,3,0,51,18,223,203,100,7,12,3,7,0,0,1,1
run,cat,S,SO3,H2,photon,electron,hole,cat_H2O,HS,OH,cat_HS,cat_sulfite,cat_H,cat_OH,cat_HS0,cat_S0,cat_HS2,HS2,S2O3,cat_S2O3
1,0,30,175,0,800,5,0,27,385,684,300,64,1,4,2,2,0,0,1,0
2,0,33,173,0,800,6,0,18,375,681,305,66,2,4,2,2,1,0,1,0
3,0,30,175,0,800,6,0,25,389,678,294,65,1,8,2,5,0,0,0,0
