run,cat,S,SO3,H2,photon,electron,hole,cat_H2O,HS,OH,cat_HS,cat_sulfite,cat_H,cat_OH,cat_HS0,cat_S0,cat_HS2,HS2,S2O3,cat_S2O3
1,0,11,224,0,800,0,0,8,156,228,72,16,1,2,1,0,0,0,0,0
2,0,14,221,0,800,0,0,4,151,224,75,19,0,2,0,0,0,0,0,0
3,0,17,220,0,800,0,0,6,149,223,74,20,0,0,0,0,0,0,0,0
run,cat,S,SO3,H2,photon,electron,hole,cat_H2O,HS,OH,cat_HS,cat_sulfite,cat_H,cat_OH,cat_HS0,cat_S0,cat_HS2,HS2,S2O3,cat_S2O3
1,1,11,149,0,800,2,0,40,68,228,156,90,4,2,1,1,1,0,1,0
2,1,14,147,1,800,2,0,44,70,222,151,93,1,5,3,2,0,0,0,0
3,1,6,146,0,800,0,0,31,71,227,161,94,2,7,0,2,0,0,0,0
run,cat,S,SO3,H2,photon,electron,hole,cat_H2O,HS,OH,cat_HS,cat_sulfite,cat_H,cat_OH,cat_HS0,cat_S0,cat_HS2,HS2,S2O3,cat_S2O3
1,7,12,137,2,800,5,0,62,16,219,201,100,5,10,2,4,1,0,1,2
2,12,7,137,1,800,12,0,42,9,219,206,100,7,13,6,5,2,0,1,2
3,18,8,137,6,800,9,0,44,16,214,193,100,5,17,2,12,3,0,2,1
run,cat,S,SO3,H2,photon,electron,hole,cat_H2O,HS,OH,cat_HS,cat_sulfite,cat_H,cat_OH,cat_HS0,cat_S0,cat_HS2,HS2,S2O3,cat_S2O3
1,171,6,129,26,800,4,1,166,0,177,178,100,12,76,0,23,11,0,1,10
2,173,6,127,27,800,2,2,159,2,170,178,100,13,83,0,29,5,1,2,11
3,190,10,127,31,800,3,1,141,1,169,168,100,10,82,0,28,10,0,1,12
